Категорија,Brand,Име на производ,АКЦИЈА,Цена-ден,Карактеристики,Гар(м),ДДВ,лагер,KatBroj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL S2722DC, 27"" IPS, 2K QHD 2560x1440 at 75 Hz, 16:9 AR, Contrast 1000:1, 4ms, 350 cd/m2, Speakers 2x3W, USB 3.2 Gen 1/USB-C hub, HDMIx2, USB-C/DP, USB 3.2x2, Audio Line-Out, Black/Silve",,"20,215 ден.","DELL Monitor S2722DC, 27"" IPS LED-backlit LCD, 2K QHD 2560x1440 at 75 Hz, 16:9 AR, Contrast 1000:1, 4ms, 350 cd/m2, Speakers 2x3W, USB 3.2 Gen 1/USB-C hub, HDMIx2, USB-C/DP, USB 3.2x2, Audio Line-Out, Black/Silver, 3Y Warranty  36M",36,5%,√,26720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL G2723H, 27"" Fast IPS, FHD 1920x1080 at 240 Hz (overclocked 280 Hz), 16:9 AR, Contrast 1000:1, 0.5ms, 400 cd/m2, 2xHDMI, DP1.4, USB-C hub, USB 3.2x5, HAS, NVIDIA G-SYNC, AMD FreeSync",,"20,246 ден.",DELL MN G2723H 27вЂќ FHD 240Hz/0.5ms/400cd/HDMI/DP,36,5%,√,28029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Samsung Monitor 32''LC32G55TQW Gaming WQHD 32, 32'' 2560x1440pix, 16:9, 144Hz,16.7M, 1000R, 250cd/? 2500:1, HDR10, 178В°(H)/178В°(V), HDMI, Headphones, Tilt:-2~18, Odyssey G5, Black",,"20,246 ден.","Samsung Monitor Gaming WQHD 32, 32'' 2560x1440pix, 16:9, 144Hz,16.7M, 1000R, 250cd/? 2500:1, HDR10, 178В°(H)/178В°(V), HDMI, Headphones, Tilt:-2~18, Odyssey G5, Black, 2Y Warranty 24M",24,5%,√,26947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Acer,"Monitor Acer ED323QURABIDPX 32'' LED VA WQHD,144Hz, Curved, ZeroFrame, 4ms, AMD FreeSync, Flicker-less,3000:1, 250nits, DVI, HDMI, DP, Black UM.JE3EE.A01",,"20,566 ден.","MONITOR ACER ED323QURABIDPX 32'' LED VA WQHD,144Hz, Curved, ZeroFrame, 4ms, AMD FreeSync, Flicker-less,3000:1, 250nits, DVI, HDMI, DP, Black",24,5%,×,26017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Philips,"Monitor Philips 345E2AE - 34 Inch WQHD Ultrawide Monitor,75 Hz, 4ms, IPS, Height Adjust, AMD FreeSync, Speakers (3440 x 1440, 300 cd/m², HDMI/DP)",,"20,664 ден.",,24,5%,×,25811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Monitor 34.1"" Samsung LS34J550WQUXEN LED UltraWQHD VA 3440 x 1440, 2xHDMI/DP/AMD FreeSync",,"20,695 ден.",,24,5%,×,24823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL Video Conferencing S2422HZ, 24"" IPS LED-backlit LCD, FHD 1920x1080 at 75 Hz",,"20,793 ден.","DELL Monitor Video Conferencing S2422HZ, 24"" IPS LED-backlit LCD, FHD 1920x1080 at 75 Hz, 16:9 AR, Contrast 1000:1, 4ms, 250 cd/m2, 5.0 MP IR camera,Speakers 2x5W,USB 3.2 Gen 1/USB-C hub,HDMI,DP,USB-C 3.2/DP,USB 3.2x2,Audio Line-Out,Black/Silver,3Y Warran",36,5%,√,26482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL P2423D, 23.8"" IPS, QHD 2K 2560X1440 60 Hz, 16:9 AR, Contrast 1000:1, 5ms, 16.7 M, 300 cd/m2,  178(V)/178(H), HDMI 1.4, DP 1.4, 4 x USB 3.2 Gen 5Gbps downstream, USB 3.2 Gen 1 upstream",,"20,861 ден.",DELL MN P2423D 23.8вЂќ 2K QHD 60Hz/5ms/300cd/HDMI/DP,36,18%,√,27148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Acer,"Monitor Acer XZ322QUSBMIIPPHX 31.5'' LED VA WQHD (2560x1440),165Hz, Curved, ZeroFrame, 1ms VRB, AMD FreeSync, Flicker-less,3000:1, 350nits native,HDR400, 2xHDMI, 2xDP, Speakers 2x3W, Height adj, Swivel, Black UM.JX2EE.S01",,"21,051 ден.","MONITOR ACER XZ322QUSBMIIPPHX 31.5'' LED VA WQHD (2560x1440),165Hz, Curved, ZeroFrame, 1ms VRB, AMD FreeSync, Flicker-less,3000:1, 350nits native,HDR400, 2xHDMI, 2xDP, Speakers 2x3W, Height adj, Swivel, Black",24,5%,√,28535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Acer,"Monitor Acer Nitro XV280Kbmiiprx 28"" LED IPS 4K UHD (3840x2160), 4ms (GtoG) 1000:1, 300nits, HDR10, HDMIx2, DP, Speakers 2x2W, Black   UM.PX0EE.001",,"21,279 ден.","MONITOR ACER Nitro XV280Kbmiiprx 28"" LED IPS 4K UHD (3840x2160), 4ms (GtoG) 1000:1, 300nits, HDR10, HDMIx2, DP, Speakers 2x2W, Black  ",24,5%,×,26627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,"Monitor 34"" LG 34WN650-W LED IPS 2560x1080 UltraWide Full HD 2xHDMI/DP/Speakers/75Hz/AMD FreeSync",,"21,377 ден.",,24,5%,×,25399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Acer,"Monitor Acer Predator XB273GXBMIIPRZX, 27"" LED IPS FHD, 240Hz, 0.1ms, 1000:1, 400nits, G-Sync, HDMI, DP, USB 3.0, Height adj. Pivot  Black Predator Visual  UM.HX3EE.X07",,"21,759 ден.","MONITOR ACER Predator XB273GXBMIIPRZX, 27"" LED IPS FHD, 240Hz, 0.1ms, 1000:1, 400nits, G-Sync, HDMI, DP, USB 3.0, Height adj. Pivot  Black Predator Visual ",24,5%,×,26080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL  U2422HE, 23.8"" IPS, FHD 1920X1080 60 Hz, 16:9 AR,  5ms, 16.7 M, 250 cd/m2, USB 3.2 Gen 2/USB-C hub, HDMI, DP 1.4(In), DP(Out),USB-C 3.2/DP PD 90W,USB-C 3.2 X 2,USB 3.2 Gen.2 X 4,RJ-45",,"21,925 ден.",DELL MN U2422HE 23.8вЂќ FHD 60Hz/5ms/250cd/HDMI/DP/U,36,5%,√,27115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,"LG 27QN880-B 27"" QHD (2560x1440) Ergo IPS Monitor with HDR 10 Compatibility and USB Type-C Connectivity, Black",,"22,441 ден.",,,5%,×,25466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,"Monitor 32"" LG 32UL500-W LED IPS, 3840x2160 4K UHD 2xHDMI/DP/Speakers/HDR 10/FreeSync",,"22,441 ден.",,36,5%,×,24791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,Monitor LG 27UL600-W 0001181101,,"22,669 ден.",27UL600-W,36,5%,×,24981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Monitor 32 Samsung LS32A700NWUXEN IPS, UHD, HDMI, DP, USB, HDR10",,"22,927 ден.",,24,5%,√,27020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Philips,"MONITOR PHILIPS LED 27'' 278B1/00, IPS 4K UHD (3840x2160) Display, 3-sided frameless Design, 4ms, 1000:1, 350 cd/m2, USB 3.2 (x1 upstream, x4 downstream), HDMI, DP, PowerSensor, speakers, Black ",,"22,958 ден.",,36,5%,×,26711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Monitor 32 Samsung LU32R590CWRXEN Curved 1500R VA Panel, UHD 3840x2160, HDMI, DP, 4ms",,"23,149 ден.",,24,5%,×,28034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Monitor 32 Samsung LS32A600UUUXEN WQHD 2560x1440, HDMI,DP,3xUSB,5ms,SuperSlim,75Hz",,"23,345 ден.",,24,5%,×,28033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor 24"" Dell P2418HT Touch FullHD IPS VGA/DHMI/DP",,"23,604 ден.",0,36,5%,√,24034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Gigabyte,"Monitor Gigabyte Gaming G32QC A, 31.5"" VA 1500R, QHD 2560 x 1440 at 165 Hz, 16:9 AR, VA Edge-type, Non-Glare, Contrast 3000:1, 1ms, 350 cd/m2,93% DCI-P3/121% sRGB, 178(V)/178(H), HDMIx2, DPx1 (1.2), USB 3.0x2, 3Y G32QC A",,"23,604 ден.","GigaByte Gaming Monitor G32QC A 32"" VA, QHD",36,5%,√,25842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,AOC,"Monitor 27 AOC AG273QCX,QHD,Curved,144 Hz,1ms,HDMI 2.0 x 2, DisplayPort1.2 x 2, VGA,USB 3.0 x4",,"23,604 ден.",,,5%,×,25561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Philips,"MON 32 PHILIPS 326M6VJRMB/00 MVA, 3840x2160,60Hz, 4ms, HDMI,DP, USB 3.0 x 4, 5Wx2, Height adjustment, Tilt",,"23,696 ден.",,36,18%,×,28162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,"LG 27GL850-B 27 Inch Ultragear QHD Nano IPS 1ms NVIDIA G-Sync Compatible Gaming Monitor, Black",,"24,151 ден.",,36,5%,√,25469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL P2723DE, 27"" IPS, QHD 2K 2560x1440 at 60 Hz, 16:9 AR, 1000:1, 5ms, 350 cd/m2, 99% sRGB, 178(V)/178(H), HDMI, DP(In), DP(Out), USB-C hub, USB-C 3.2/DP PD 90W, USB 3.2x4, LAN RJ-45, HAS",,"24,182 ден.",DELL MN P2723DE 27вЂќ QHD 60Hz/5ms/350cd/HDMI/DP/USB,36,5%,√,27893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Asus,"Monitor Asus VG289Q, 28, 16:9, Panel IPS, 3840x2160, 350 cd/m2, 1000:1, 178 °, 178 °, 5 ms, HDMI x2,DP,3,5 mm Audio Jack, Zvučnici da, Ravni, Boja Crna, Postolje pivot,podesivo po visini,tilt,swivel, Adaptive-Sync, FreeSync, HDR10, Flicker free, Low Blu 9",,"24,311 ден.","VG289Q, 28, 16:9, Panel IPS, 3840x2160, 350 cd/m2, 1000:1, 178 °, 178 °, 5 ms, HDMI x2,DP,3,5 mm Audio Jack, Zvučnici da, Ravni, Boja Crna, Postolje pivot,podesivo po visini,tilt,swivel, Adaptive-Sync, FreeSync, HDR10, Flicker free, Low Blu",36,5%,×,24955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL S2722QC, 27"" IPS WLED-, UHD 4K 3840 x 2160 at 60 Hz, 16:9 AR, Contrast 1000:1, 4ms, 1.07 bil, 350 cd/m2, 99% sRGB, HDMI X 2, USB-C/DP with PD 65W, USB 3.2 x 2, Audio Line-Out, Speakers",,"24,735 ден.","DELL Monitor S2722QC, 27"" IPS WLED-backlit LCD monitor, UHD 4K 3840 x 2160 at 60 Hz, 16:9 AR, Contrast 1000:1, 4ms, 1.07 bil, 350 cd/m2, 99% sRGB, 178(V)/178(H), HDMI X 2, USB-C/DP with PD 65W, USB 3.2 x 2, Audio Line-Out, Speakers built-in, 3Y Warranty  ",36,5%,×,26910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Lenovo,"Monitor Lenovo ThinkVision T32h-20 31,5"" 3-side NearEdgeless IPS (2560 x 1440)/ USB Type-C Gen1 (DP 1.2 Alt Mode), HDMI, DP/ 4 x USB 3.1,  USB Type-C/ 4ms/ 1000:1/ 350 cd/m²/ TUV Eye Comfort-certified/ Pivot, Lift, Swivel, Tilt/ 36m Warranty 61F1GAT2EU",,"25,215 ден.","ThinkVision T32h-20 31,5"" - 3-side NearEdgeless IPS (2560 x 1440), USB Type-C; HDMI, DP/ 4ms/ 1000:1/ 350 cd/m²/ 4 x USB 3.1/ USB Type-C Gen1 (DP 1.2 Alt Mode)/ TUV Eye Comfort-certified/ Pivot, Lift, Swivel, Tilt/ 36m Warranty",36,5%,√,24559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,"Monitor 32"" LG 32UN650-W LED IPS, 3840x2160 4K UHD 2xHDMI/DP/Speakers/HDR 10/FreeSync",,"25,670 ден.",,24,5%,√,25397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL Video Conferencing S2722DZ, 27"" IPS WLED-backlit LCD, QHD 25600x1440, 5.0 MP IR camera,Speakers 2x5W,USB 3.2 Gen 1/USB-C hub,HDMI,DP, ,Black/Silver  210-BBSK",,"25,768 ден.","DELL Monitor Video Conferencing S2722DZ, 27"" IPS WLED-backlit LCD, QHD 25600x1440 at 75 Hz, 16:9 AR, Contrast 1000:1, 4ms, 350 cd/m2, 5.0 MP IR camera,Speakers 2x5W,USB 3.2 Gen 1/USB-C hub,HDMI,DP,USB-C 3.2/DP,USB 3.2x2,Audio Line-Out,Black/Silver,3Y Warr",36,5%,√,26580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,Monitor 25 Dell AW2523HF Alienware Gaming FullHD/FastIPS/1ms/360Hz 5xUSB/2xHDMI/DP/Audio/VESA/Lunar,,"25,892 ден.",,36,5%,√,28716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Lenovo,"Monitor Lenovo ThinkVision P27h-20 27"" - QHD IPS (2560 x 1440) USB Type-C; HDMI, DP, DP-out, USB Type-C Gen1(DP1.2 Alt Mode)/ 4 x USB 3.1 Gen1 (1 x BC1.2)/ 1000:1/ 4ms/ Speakers 1W x 2/ Ethernet 10/100/1000/ TUV Eye Comfort-certified/ Tilt, Swivel, Pivot,",,"25,928 ден.","ThinkVision P27h-20 27"" - QHD IPS (2560 x 1440) USB Type-C; HDMI, DP, DP-out, USB Type-C Gen1(DP1.2 Alt Mode)/ 4 x USB 3.1 Gen1 (1 x BC1.2)/ 1000:1/ 4ms/ Speakers 1W x 2/ Ethernet 10/100/1000/ TUV Eye Comfort-certified/ Tilt, Swivel, Pivot, Height Adjust Stand/ 36m. Warranty",36,5%,√,25173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Lenovo,"Monitor Lenovo ThinkVision P27h-30 27"" - QHD IPS (2560 x 1440) USB Type-C; HDMI, DP, DP-out, USB Type-C Gen 2 (DP 1.4 Alt Mode)/ 5 x USB 3.2 Gen1 (1x USB-C, 15W PD, 4x USB-A)/ 1000:1/ 4ms/ Ethernet 10/100/1000/ TUV Eye Comfort-certified/ Tilt, Swivel, Piv",,"26,636 ден.","ThinkVision P27h-30 27"" - QHD IPS (2560 x 1440) USB Type-C; HDMI, DP, DP-out, USB Type-C Gen 2 (DP 1.4 Alt Mode)/ 5 x USB 3.2 Gen1 (1x USB-C, 15W PD, 4x USB-A)/ 1000:1/ 4ms/ Ethernet 10/100/1000/ TUV Eye Comfort-certified/ Tilt, Swivel, Pivot, Height Adjust Stand/ 36m. Warranty",36,5%,√,28091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,AOC,"Monitor AOC AG271QX, 27"", 16:9, 2560x1440, 350 cd/m2, CR 1000:1 , DCR 50.000.000:1, 170 °, 160 °, 1 ms, Audio In/Out,D-Sub,DVI-D,DisplayPort,HDMI,USB,MHL-HDMI, TCO'06, Boja Black Red, Stalak pivot,podesivo po visini,tilt,swivel, Quad HD 2560x1440@144Hz AG",,"26,666 ден.","AG271QX, 27"", 16:9, 2560x1440, 350 cd/m2, CR 1000:1 , DCR 50.000.000:1, 170 °, 160 °, 1 ms, Audio In/Out,D-Sub,DVI-D,DisplayPort,HDMI,USB,MHL-HDMI, TCO'06, Boja Black Red, Stalak pivot,podesivo po visini,tilt,swivel, Quad HD 2560x1440@144Hz",36,5%,×,20815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Philips,"Monitor Philips 34"" UltraWideQHD/VA/Curved/4ms/21:9/DP 345B1C/00",,"27,835 ден.",,24,5%,√,27041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Monitor 34 Samsung LC34H890WGRXEN 100Hz, UWQHD 3440x1440, HDMI, DP, 3xUSB, USB-C, Curved",,"29,249 ден.",,24,5%,×,26638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL P2723QE, 27"" IPS  4K UHD 3840x2160 60 Hz, 16:9 AR 1000:1, 5ms, 400 cd/m2, 178(V)/178(H), 99% sRGB, USB 3.2 Gen 2/USB-C hub, HDMI 2.3, DP 1.4, USB-C 3.2 PD 90W, USB 3.2x4, LAN RJ-45, HAS",,"29,249 ден.",DELL MN P2723QE 27вЂќ UHD 60Hz/5ms/400cd/HDMI/DP/USB,36,5%,√,27894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,"LG 32UP550-W 32 Inch UHD (3840 x 2160) VA Display with AMD FreeSync, DCI-P3 90% Color Gamut with HDR 10 Compatibility and USB Type-C Connectivity – Silver/White ;HDMI; display +usb-c",,"29,286 ден.",,36,5%,√,28141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,LG,"Monitor LG 27GL850-B, 27, 16:9, Panel IPS, 2560x1440, 350 cd/m2, 1000:1, 178 °,178 °, 1 ms, HDMI x2,DP,USB 3.0 x3,3,5 mm Audio Jack, Ravni, Boja Crna,Postolje pivot,podesivo po visini,tilt, Frameless, 144Hz osvježavanje,NVIDIA G-SYNC kompatibilan, Fre 000",,"29,643 ден.","27GL850-B, 27, 16:9, Panel IPS, 2560x1440, 350 cd/m2, 1000:1, 178 °,178 °, 1 ms, HDMI x2,DP,USB 3.0 x3,3,5 mm Audio Jack, Ravni, Boja Crna,Postolje pivot,podesivo po visini,tilt, Frameless, 144Hz osvježavanje,NVIDIA G-SYNC kompatibilan, Fre",36,5%,×,24986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL U2722D, 27"" IPS LED-backlit LCD, QHD 2560 x 1440 at 60 Hz,16:9 AR, , USB 3.2 Gen 2/USB-C hub, HDMI, DP(In), DP(Out), USB-C 3.2X2, USB 3.2X3,Audio Line-Out,Black/Silver,3Y",,"30,350 ден.","DELL Monitor U2722D, 27"" IPS LED-backlit LCD, QHD 2560 x 1440 at 60 Hz,16:9 AR, Contrast 1000:1, 5ms, 350 cd/m2, 178(V)/178(H), 100% sRGB, USB 3.2 Gen 2/USB-C hub, HDMI, DP(In), DP(Out), USB-C 3.2X2, USB 3.2X3,Audio Line-Out,Black/Silver,3Y Warranty  36M",36,5%,√,26263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"DELL Monitor P3223DE, 31.5"" IPS LED-backlit LCD, QHD 2K 2560x1440 at 60 Hz, 16:9 AR, , 5ms, 350 cd/m2, HDMI, DP(In), DP(Out), USB-C hub, USB-C 3.2/DP PD 90W, USB 3.2x4, LAN RJ-45, HAS      210-BDGB",,"30,350 ден.","DELL Monitor P3223DE, 31.5"" IPS LED-backlit LCD, QHD 2K 2560x1440 at 60 Hz, 16:9 AR, Contrast 1000:1, 5ms, 350 cd/m2, 99% sRGB, 178(V)/178(H), HDMI, DP(In), DP(Out), USB-C hub, USB-C 3.2/DP PD 90W, USB 3.2x4, LAN RJ-45, HAS, 3Y Warranty  36M",36,5%,√,28496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Monitor 32 Samsung LC32G75TQSRXEN Gaming 240Hz,1ms,WQHD,HDMI,2xDP,2xUSB,G-Sync,HDR600,Curved,Pivot",,"30,639 ден.",,24,5%,√,26435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,SAMSUNG,"Monitor 27 Samsung LC27G75TQSRXEN Gaming 240Hz,1ms,WQHD,HDMI,2xDP,2xUSB,G-Sync,HDR600,Curved,Pivot",,"30,738 ден.",,24,5%,×,26906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Acer,"Monitor Acer Predator XB273UGSBMIIPRZX, 27"" 165Hz, WQHD 1ms 1000:1 400nits HDR400 LED G-Sync HDMI DP MM USB 3.0  Height adj. Pivot EURO/UK EMEA TCO6.0 Black Predator Visual  UM.HX0EE.S01",,"31,869 ден.","MONITOR ACER Predator XB273UGSBMIIPRZX, 27"" 165Hz, WQHD 1ms 1000:1 400nits HDR400 LED G-Sync HDMI DP MM USB 3.0  Height adj. Pivot EURO/UK EMEA TCO6.0 Black Predator Visual ",24,5%,×,25422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,DELL,"Monitor DELL U2722DE, 27"" IPS, QHD 2560x1440 60 Hz, 16:9 AR, 5ms, 350 cd/m2, 178(V)/178(H), USB 3.2 Gen 2/USB-C hub, HDMI, DP(In), DP(Out), USB-C 3.2/DP with PD 90W, USB-C 3.2X2, USB 3.2X3, RJ-45",,"32,515 ден.",DELL MN U2722DE 27вЂќ QHD/5ms/350cd/HDMI/DP/USB-C/RJ,36,5%,√,27722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
